"","data:Lot Created On","data:Lot Opened On","data:Work Commenced On","data:Work Completed On","data:Work Completed On","data:Lot Type","data:From and To Chainage","data:Construction Element","data:Activity","data:Design Package No","data:Traffic Direction","data:Engineer Responsible","data:comments","data:Print Name:","data:Date:","data:Lot verified By","data:Is the relevant NCR attached to the Lot?","data:Lot Status","data:Lot Closed On"
"ITP-017-A1-LOT-149 - RCP525 - Pit 211 to Pit 212","","","","",,"","","","","","","James Moran","","","","","","",""
"ITP-017-A1-LOT-150 - RCP375 - Pit 235 to Pit 154","","","","",,"","","","","","","","","","","","","",""
"ITP-017-A1-LOT-151 - RCP375 - Pit 154 to Pit 236","","","","",,"","","","","","","James Moran","","","","","","",""
"ITP-017-A1-LOT-152 - Stormpro 525 - Pit 212 to Pit 214","","","","",,"","","","","","","James Moran","","","","","","",""
"ITP-017-A1-LOT-153 - RCP450 - Pit 216 to Pit 217","1/03/2023","1/03/2023","1/03/2023","1/03/2023",," DRL- Drainage Lot","Pit 216 - 217","STOR - Stormwater","STOR - DRAP Drainage ÊÊ","","","James Moran","","James Moran","5/04/2023","Babak Rudd-Project Quality Manager"," N/A"," CLOSED","06/04/2023"
"ITP-017-A1-LOT-154 - RCP450 - Pit 217 to Pit 218","6/03/2023","6/03/2023","6/03/2023","6/03/2023",," DRL- Drainage Lot","Pit 217 - 218","STOR - Stormwater","STOR - DRAP Drainage ÊÊ","","","James Moran","","James Moran","5/04/2023","Babak Rudd-Project Quality Manager"," N/A"," CLOSED","06/04/2023"
"ITP-017-A1-LOT-155 - RCP450 - Pit 218 to Pit 219","","","","",,"","","","","","","James Moran","","","","","","",""
"ITP-017-A1-LOT-156 - Stormpro450 - Pit 238 to Pit 239","","","","",,"","","","","","","James Moran","","","","","","",""
"ITP-017-A1-LOT-157  - Pit 040 to Pit 039","","","","",,"","","","","","","James Moran","","","","","","",""
"ITP-017-A1-LOT-158 - RCP450 - Pit 239 to Pit 240","","","","",,"","","","","","","James Moran","","","","","","",""
"ITP-017-A1-LOT-159 - RCP375 - Pit 196 to Pit 197","10/03/2023","10/03/2023","08/03/2023","10/03/2023",," DRL- Drainage Lot","CH14470 to CH14500","STOR - Stormwater","STOR - DRAP Drainage ÊÊ",""," WB - Westbound","Mohammad Memari","","Mohammad Memari","11/04/2023","Babak Rudd-Project Quality Manager"," N/A"," CLOSED","10/05/2023"
"ITP-017-A1-LOT-160 - StormPro 375 - Pit 197 to Pit 198","10/03/2023","10/03/2023","09/03/2023","09/03/2023",," DRL- Drainage Lot","CH14440 to CH14470","STOR - Stormwater","STOR - DRAP Drainage ÊÊ"," 1145-ACM-CVD-DPK-0004"," WB - Westbound","Mohammad Memari","","Mohammad Memari","11/04/2023","","","",""
"ITP-017-A1-LOT-161 - StormPro 375 - Pit 198 to Pit 200","10/03/2023","10/03/2023","10/03/2023","",," DRL- Drainage Lot","CH14430 to CH14440","STOR - Stormwater","STOR - DRAP Drainage ÊÊ"," 1145-ACM-CVR-DPK-0004"," WB - Westbound","Mohammad Memari","","","","","","",""
"ITP-017-A1-LOT-162- Craigieburn Rd - Pit 364 to Pit 039","","","","",,"","","","","","","Mohammad Memari","","","","","","",""
"ITP-017-A1-LOT-163- Craigieburn Rd - Pit 384 to Pit 384-1 - Hanson Intersection - CM","20/02/2023","20/02/2023","20/02/2023","",," DRL- Drainage Lot","P384 - P384-1","","","","","Philip Klenkowski","","","","","","",""
"ITP-017-A1-LOT-164 - RCP 900 - Pit 187 to Pit 399,264,204","","","","",,"","","","","","","James Moran","","","","","","",""
"ITP-017-A1-LOT-165 - RCP450 - Pit 240 to Pit 241","","","","",,"","","","","","","James Moran","","","","","","",""
"ITP-017-A1-LOT-166 - Stormpro 375 - Pit 241 to Pit 085","","","","",,"","","","","","","James Moran","","","","","","",""
"ITP-017-A1-LOT-167 - RCP 375 - Pit 205 to Pit 247","16/03/2023","16/03/2023","22/02/2023","",," DRL- Drainage Lot","CH13289 to CH13314","STOR - Stormwater","STOR - DRAP Drainage ÊÊ"," 1145-ACM-CVD-DPK-0004"," WB - Westbound","","","","","","","",""
"ITP-017-A1-LOT-168 - Stormpro 375 - Pit 085 to Pit 242","","","","",,"","","","","","","James Moran","","","","","","",""
"ITP-017-A1-LOT-169 - RCP 375 - Pit 173 to Pit 175","20/03/2023","20/03/2023","16/03/2023","16/03/2023",," DRL- Drainage Lot","CH14570 to CH14590","STOR - Stormwater","STOR - DRAP Drainage ÊÊ"," 1145-ACM-CVR-DPK-0004"," WB - Westbound","Mohammad Memari","","Mohammad Memari","11/04/2023","Babak Rudd-Project Quality Manager"," N/A"," CLOSED","10/05/2023"
"ITP-017-A1-LOT-170 - RCP 375 - Pit 176 to Pit 175","20/03/2023","20/03/2023","16/03/2023","17/03/2023",," DRL- Drainage Lot","CH14540 TO CH14570","STOR - Stormwater","STOR - DRAP Drainage ÊÊ"," 1145-ACM-CVR-DPK-0004"," WB - Westbound","Mohammad Memari","","Mohammad Memari","11/04/2023","","","",""
"ITP-017-A1-LOT-171 - RCP 375 - Pit 176 to Pit 195","20/03/2023","20/03/2023","20/03/2023","20/03/2023",," DRL- Drainage Lot","CH14525 TO CH14535","STOR - Stormwater","STOR - DRAP Drainage ÊÊ"," 1145-ACM-CVR-DPK-0004"," WB - Westbound","Mohammad Memari","","Mohammad Memari","11/04/2023","Babak Rudd-Project Quality Manager"," N/A"," CLOSED","10/05/2023"
"ITP-017-A1-LOT-172 - P384-2 - P384-3 - 900 RCP - Shell CM","08/03/2023","08/03/2023","08/03/2023","",," DRL- Drainage Lot","P384-2 - P384-3","STOR - Stormwater","","","","Philip Klenkowski","","","","","","",""
"ITP-017-A1-LOT-173 - RCP450 - Pit 219 to Pit 220","","","","",,"","","","","","","James Moran","","","","","","",""
"ITP-017-A1-LOT-174 - StormPro 600 - Pit 204 to Pit 203","","","","",,"","","","","","","James Moran","","","","","","",""
"ITP-017-A1-LOT-175 - RCP 600 - Pit 203 to Pit 286","","","","",,"","","","","","","James Moran","","","","","","",""
"ITP-017-A1-LOT-176 - StormPro 450 - Pit 220 to Pit 221","","","","",,"","","","","","","James Moran","","","","","","",""
"ITP-017-A1-LOT-177 - RCBC 450x300 - Pit 307 to Pit 280","23/03/2023","23/03/2023","23/03/2023","31/03/2023",," DRL- Drainage Lot","CH14550 TO CH14585","STOR - Stormwater","STOR - DRAP Drainage ÊÊ"," 1145-ACM-CVR-DPK-0004"," WB - Westbound","Mohammad Memari","","Mohammad Memari","11/04/2023","","","",""
"ITP-017-A1-LOT-178 - RCP 375 - Pit 280 to Pit 173","28/03/2023","28/03/2023","28/03/2023","",," DRL- Drainage Lot","CH14580 TO CH14595","STOR - Stormwater","STOR - DRAP Drainage ÊÊ"," 1145-ACM-CVR-DPK-0004"," WB - Westbound","Mohammad Memari","","","","","","",""
"ITP-017-A1-LOT-179 - StormPro 450 - Pit 221 to Pit 222","","","30/03/2023","",,"","","","","","","James Moran","Changed to Concrete Pipes","","","","","",""
"ITP-017-A1-LOT-180 - RCP375 - Pit 195 to Pit 196","22/03/2023","22/03/2023","22/03/2023","23/03/2023",," DRL- Drainage Lot","CH14500 TO CH14525","STOR - Stormwater","STOR - DRAP Drainage ÊÊ"," 1145-ACM-CVR-DPK-0004"," WB - Westbound","Mohammad Memari","","Mohammad Memari","11/04/2023","","","",""
"ITP-017-A1-LOT-181 - RCP375 - Pit 173 to Pit 279","13/04/2023","13/04/2023","13/04/2023","",," DRL- Drainage Lot","CH14600 - CH14620","STOR - Stormwater","STOR - DRAP Drainage ÊÊ","1145-ACM-CVD-DPK-0002"," WB - Westbound","Mohammad Memari","","","","","","",""
"ITP-017-A1-LOT-182 - RCP375 - Pit 287 to 172","27/03/2023","27/03/2023","27/03/2023","03/04/2023",," DRL- Drainage Lot","CH14700 TO CH14720","STOR - Stormwater","STOR - DRAP Drainage ÊÊ"," 1145-ACM-CVR-DPK-0004"," WB - Westbound","Mohammad Memari","","Mohammad Memari","11/04/2023","","","",""
"ITP-017-A1-LOT-183 - RCP375 - Pit 172 to 301","27/04/2023","26/04/2023","26/04/2023","",," DRL- Drainage Lot","CH14690 - CH14705","STOR - Stormwater","STOR - DRAP Drainage ÊÊ","1145-ACM-CVD-DPK-0002"," WB - Westbound","Mohammad Memari","","Mohammad Memari","","","","",""
"ITP-017-A1-LOT-184 - RCP375 - Pit 381 to 380","09/05/2023","10/05/2023","10/05/2023","",," DRL- Drainage Lot","CH14740 = CH14755","STOR - Stormwater","STOR - DRAP Drainage ÊÊ","1145-ACM-CVD-DPK-0002"," WB - Westbound","Mohammad Memari","","","","","","",""
"ITP-017-A1-LOT-185 - StormPro 375 - Pit 380 to 303","09/05/2023","11/05/2023","11/05/2023","",," DRL- Drainage Lot","CH14755","STOR - Stormwater","STOR - DRAP Drainage ÊÊ","1145-ACM-CVD-DPK-0002"," WB - Westbound","Mohammad Memari","","","","","","",""
"ITP-017-A1-LOT-186 - RCP 375 - Pit 304 to 303","01/05/2023","01/05/2023","01/05/2023","",," DRL- Drainage Lot","CH14750 - CH14780","STOR - Stormwater","STOR - DRAP Drainage ÊÊ","1145-ACM-CVD-DPK-0002"," WB - Westbound","Mohammad Memari","","","","","","",""
"ITP-017-A1-LOT-187 - RCP 450 - Pit 222 to Pit 223","","","","",,"","","","","","","Mohammad Memari","","","","","","",""
"ITP-017-A1-LOT-188 - RCP 450 - Pit 223 to Pit 398","","","","",,"","","","","","","Mohammad Memari","","","","","","",""
"ITP-017-A1-LOT-189 - RCP 450 - Pit 398 to Pit 224","","","","",,"","","","","","","Mohammad Memari","","","","","","",""
"ITP-017-A1-LOT-190 - Stormpro 375 - Pit 224 to Pit 226","","","","",,"","","","","","","Mohammad Memari","","","","","","",""
"ITP-017-A1-LOT-191 - RCP375 - Pit 242 to 243","","","","",,"","","","","","","Mohammad Memari","","","","","","",""
"ITP-017-A1-LOT-192 - Benston Crossing - Pit 035 - Pit 384","18/04/2023","18/04/2023","19/04/2023","",," DRL- Drainage Lot","Pit 035 - Pit 383","STOR - Stormwater","STOR - DRAP Drainage ÊÊ","","","Qassim Al-Montafjy","","","","","","",""
"ITP-017-A1-LOT-193 - Zone 2 - Bensotn St - Pit 237-1 - Pit 035","13/04/2023","13/04/2023","13/04/2023","",,"","P237-1 - P035","STOR - Stormwater","","","","Philip Klenkowski ","","","","","","",""
"ITP-017-A1-LOT-194 - Zone 2 - Center median - Pit 064-1 - Pit 044","15/04/2023","15/04/2023","15/04/2023","",," DRL- Drainage Lot","P064-1 - P044","","","","","Philip Klenkowski","","","","","","",""
"ITP-017-A1-LOT-195 - Zone 4 - Pit 203 - Pit 374","","","","",,"","","","","","","James Moran","","","","","","",""
"ITP-017-A1-LOT-196 - Zone 4 - Pit 286 - Pit 273","","","","",,"","","","","","","James Moran","","","","","","",""
"ITP-017-A1-LOT-197 - Zone 4 - Pit 238 - Pit 170","","","","",,"","","","","","","James Moran","","","","","","",""
"ITP-017-A1-LOT-198 - Zone 2 - P044 - P044-1 - RCBC","15/04/2023","15/04/2023","15/04/2023","",,"","P044 - P044-1","STOR - Stormwater","","","","Philip Klenkowski ","","Philip Klenkowski","","","","",""
"ITP-017-A1-LOT-199 - Zone 4 - Pit 170 - Pit 171","","","","",,"","","","","","","James Moran","","","","","","",""
"ITP-017-A1-LOT-200 - Zone 3 East - Pit 151 - Pit 099 600RCP","19/03/23","19/03/23","19/03/23","",," DRL- Drainage Lot","PIT 151 TO 059","STOR - Stormwater","STOR - DRAP Drainage ÊÊ",""," WB - Westbound","Abdullah Abdullah","","","","","","",""
"ITP-017-A1-LOT-201 - Zone 3 East - Pit 099 - Pit 152 525RCP","28/04/23","28/04/23","28/04/23","",," DRL- Drainage Lot","PIT 099 to PIT 152","STOR - Stormwater","STOR - DRAP Drainage ÊÊ",""," WB - Westbound","ABDULLAH ABDULLAH","","","","","","",""
"ITP-017-A1-LOT-202 - Zone 3 East - Pit 152- 152-1 525RCP","29/04/23","29/04/23","29/04/23","",," DRL- Drainage Lot","PIT 152 TO 152-1","STOR - Stormwater","STOR - DRAP Drainage ÊÊ",""," WB - Westbound","ABDULLAH ABDULLAH","","","","","","",""
"ITP-017-A1-LOT-203 - Zone 3 East - Pit 259 - Pit 147 twin 900RCP","02/05/23","02/05/23","02/05/23","",," DRL- Drainage Lot","PIT 259 TO PIT 147","","","","","","","","","","","",""
"ITP-017-A1-LOT-204 - Zone 3.2 - RCP1050 - Pit 130 to Pit 393","","","","",,"","","","","","","Abdullah Abdullah","","","","","","",""
"ITP-017-A1-LOT-205 - Zone 3.2 - StormPro 350 - Pit 301 to Pit 129","","","","",,"","","","","","","Abdullah Abdullah","","","","","","",""
"ITP-017-A1-LOT-206 - Zone 3.2 - StromPro 350 - Pit 129 to Pit 393","","","","",,"","","","","","","Abdullah Abdullah","","","","","","",""
"ITP-017-A1-LOT-207 - Zone 4 - Pit 170 - Pit 317","","","","",,"","","","","","","Abdullah Abdullah","","","","","","",""
"ITP-017-A1-LOT-208 - Zone 2 - Pit 383 to Pit 036","","","","",,"","","","","","","Abdullah Abdullah","","","","","","",""
"ITP-017-A1-LOT-209 - Zone 3.2 - RCP350 - Pit 303 to Pit 287","","","","",,"","","","","","","Abdullah Abdullah","","","","","","",""
"ITP-017-A1-LOT-210 - Zone 3.4 - RCP375 - Pit 159 to Pit 181","23/02/2023","23/02/2023","23/02/2023","",," DRL- Drainage Lot","CH14478 to CH14509","STOR - Stormwater","STOR - DRAP Drainage ÊÊ","1145-ACM-CVD-DPK-0002","EB - Eastbound","Khulood Hwayyis","","","","","","",""
"ITP-017-A1-LOT-211 - Zone 3.4E - Pit 147 to Pit 149","","","","",,"","","","","","","","","","","","","",""
"ITP-017-A1-LOT-212 - Zone 3.2E - Pit 017 to Pit 017-1","","","","",,"","","","","","","","","","","","","",""
"ITP-017-A1-LOT-213 - Zone 3.4E - Pit 149 to Pit 149-1","","","","",,"","","","","","","","","","","","","",""
"ITP-017-A1-LOT-214 - Zone 3.3E - Pit 150 to 150-1","","","","",,"","","","","","","","","","","","","",""
"ITP-017-A1-LOT-215 - Zone 2 - Pit 035 to Pit 383 ","","","","",,"","","","","","","","","","","","","",""
"ITP-017-A1-LOT-216 - Zone 2 - Pit 383 to Pit 036","","","","",,"","","","","","","","","","","","","",""
"ITP-017-A1-LOT-217 - Zone 2 - Pit 036 to Pit 020","","","","",,"","","","","","","","","","","","","",""
"ITP-026 - Guardrail Installation",,,,,,,,,,,,,,,,,,,
"ITP-026-A1-LOT-001 - Hume Hwy South Island (Sth Bound)","19/08/2022","19/08/2022","19/08/2022","19/08/2022",,"CIL-Civil Lot","70267-70113","SAFE - Safety Barrier","GUAR - Guardrail"," 1145-ACM-CVP-DPK-0001"," SB - Southbound","Philip Klenkowski","","Qassim Al-Montafjy","11/04/2023","","","",""
"ITP-026-A1-LOT-002 - Hume Hwy North Island (Nth/Sth Bound)","1/08/222","1/08/2022","1/08/2022","1/08/2022",,"CIL-Civil Lot","CH 70270 - CH70235","SAFE - Safety Barrier","GUAR - Guardrail",""," ME - Median","James Moran","","Philip Klenkowski","19/09/2022","Babak Rudd-Project Quality Manager"," N/A"," CLOSED","21/09/2022"
"ITP-026-A1-LOT-003 - Hume Hwy South Island (Nth Bound)","09/08/2022","09/08/2022","09/08/2022","9/08/2022",,"CIL-Civil Lot","CH70331-CH70445","SAFE - Safety Barrier","GUAR - Guardrail",""," NB - Northbound","James Moran","","Philip Klenkowski","10/10/2022","Babak Rudd-Project Quality Manager"," N/A"," CLOSED","13/01/2023"
"ITP-026-A1-LOT-004 - Memorial Park Median Guardrails","07/02/2023","07/02/2023","07/02/2023","",,"CIL-Civil Lot","16160 to 16340","SAFE - Safety Barrier","GUAR - Guardrail"," 1145-ACM-CVP-DPK-0001"," ME - Median","Qassim Al-Montafjy","","Qassim Al-montafjy","11/04/2023","","","",""
"ITP-026-A1-LOT-005 - Ramshield installation - Z3.1- West of Brigewater and South of the Bus stop","21/02/2023","21/02/2023","21/02/2023","",,"CIL-Civil Lot","CH14820 to CH15030","SAFE - Safety Barrier","GUAR - Guardrail"," 1145-ACM-CVR-DPK-0001"," WB - Westbound","Khulood Hwayyis","","","","","","",""
"ITP-026-A1-LOT-006 - Memorial EB/WB Both Sides - CH26146 - CH26344","01/02/2023","01/02/2023","01/02/2023","",,"CIL-Civil Lot"," CH26146 - CH26344","SAFE - Safety Barrier","GUAR - Guardrail"," 1145-ACM-CVP-DPK-0001","","Qassim Al-Montafjy","","Qassim Al-montafjy","","","","",""
"ITP-026-A1-LOT-007 - Hume Hwy NB - CH70088 - CH70250","01/02/2023","01/02/2023","01/02/2023","",,"CIL-Civil Lot","CH70088 - CH70250","SAFE - Safety Barrier","GUAR - Guardrail"," 1145-ACM-CVP-DPK-0001"," NB - Northbound","Qassim Al-Montafjy","","Qassim Al-Montafjy","","","","",""
"ITP-049 - Topsoil Placement and Landscaping",,,,,,,,,,,,,,,,,,,
"ITP-049-A1-LOT-001 - Hume Hwy North","5/08/2022","5/08/2022","5/08/2022","14th September 2022",,"CIL - Civil","70320 - 70500","LAND - Landscaping"," TOPS - Topsoil",""," ME - Median","James Moran","","James MOran","10/10/2022","Babak Rudd-Project Quality Manager","N/A"," CLOSED","12/10/2022"
"ITP-049-A1-LOT-002 - Hume Hwy South","5/08/22","5/08/22","5/08/22","14/09/2022",,"CIL - Civil","70110 - 70280",""," TOPS - Topsoil","","","James Moran","","James Moran","10/10/2022","Babak Rudd-Project Quality Manager","N/A"," CLOSED","2/12/2022"
"ITP-054 - Traffic Island, Median Island & Driveways",,,,,,,,,,,,,,,,,,,
"ITP-054-A1-LOT-001 - Hume Hwy North Bullnose","29/07/22","29/07/2022","29/07/22","29/07/2022",,"CIL - Civil","70310-70315","PAVI - Paving"," COII - Concrete Infill/Island",""," ME - Median","James Moran","","James Moran","26/10/2022","Babak Rudd-Project Quality Manager"," N/A"," CLOSED","25/11/2022"
"ITP-054-A1-LOT-002 - Hume Hwy North (Sth Bound) Maintenance Strip","4/08/2022","4/08/2022","4/08/2022","05/08/2022",,"CIL - Civil","CH 70330-70510","PAVI - Paving"," COII - Concrete Infill/Island",""," SB - Southbound","James Moran","Maintenance Strip","James Moran","29/11/2022","Babak Rudd-Project Quality Manager"," N/A"," CLOSED","14/12/2022"
"ITP-054-A1-LOT-003 - Hume Hwy South (Nth Bound) - Maintenance Strip CH70265 - 70220","15/08/2022","15/08/2022","15/08/2022","16/08/2022",,"CIL - Civil","70265 - 70220","PAVI - Paving"," COII - Concrete Infill/Island",""," NB - Northbound","James Moran","","James Moran","29/11/2022","Babak Rudd-Project Quality Manager"," N/A"," CLOSED","14/12/2022"
"ITP-054-A1-LOT-004 - Hume Hwy South (Nth Bound) - Maintenance Strip CH70220 - 70110","15/08/2022","15/08/2022","16/08/2022","16/08/2022",,"","CH 70220 - 70110","PAVI - Paving"," COII - Concrete Infill/Island",""," NB - Northbound","James Moran","","","","","","",""
"ITP-054-A1-LOT-005 Hume Hwy North (Sth Bound) - Maintenance Strip CH70506 - 70485","18/08/2022","18/08/2022","18/08/2022","19/08/2022",,"","","PAVI - Paving"," COII - Concrete Infill/Island",""," NB - Northbound","Philip Klenkowski","","","","","","",""
"ITP-054-A1-LOT-006 Hume Hwy North (Nth Bound) - Maintenance Strip CH70334 - 70360","18/08/2022","18/08/2022","18/08/2022","",,"","70334-70360","PAVI - Paving"," COII - Concrete Infill/Island","","","Philip Klenkowski","","","","","","",""
"ITP-054-A1-LOT-007 - Hume Hwy North (Nth Bound) - Maintenance Strip CH70360 - 70435","18/08/2022","18/08/2022","18/08/2022","",,"","70360-70435","PAVI - Paving"," COII - Concrete Infill/Island","","","Philip Klenkowski","","","","","","",""
"ITP-054-A1-LOT-008 - Hume Hwy South (Sth Bound) - Maintenance Strip CH70267 - CH70100","23/08/2022","23/08/2022","23/08/2022","",,"CIL - Civil","70269-70100","PAVI - Paving"," COII - Concrete Infill/Island",""," SB - Southbound","Philip Klenkowski ","","","","","","",""
"ITP-054-A1-LOT-009 - Bridgewater Rd to Clovelly Dr - WB - SUP CH14900 to CH15000","30/01/2023","30/01/2023","30/01/2023","",,"","","PAVI - Paving"," SHUP - Shared User Path",""," WB - Westbound","James Moran","","","","","","",""
"ITP-054-A1-LOT-010 - Bridgewater Rd South East Corner - CH25100 - CH25120 - SUP","24/01/2023","24/01/2023","24/01/2023","24/01/2023",,"CIL - Civil","CH25100 - CH25120","PAVI - Paving"," SHUP - Shared User Path"," 1145-ACM-CVP-DPK-0001","EB - Eastbound","Ahmad El Wazer","","Ahmad El Wazer","30/01/2023","Other:"," N/A"," CLOSED","19/04/2023"
"ITP-054-A1-LOT-011 - Bridgewater Rd NB Bullnose - CH25090 - CH25100","24/01/2023","24/01/2023","24/01/2023","24/01/2023",,"CIL - Civil","CH25090 - CH25100","PAVI - Paving"," COII - Concrete Infill/Island"," 1145-ACM-CVP-DPK-0001"," ME - Median","Ahmad El Wazer","","Ahmad El Wazer","19/04/2023","Other:"," N/A"," CLOSED","19/04/2023"
"ITP-054-A1-LOT-012 - Memorial South Bullnose Infill ","29/01/2023","29/01/2023","29/01/2023","",,"","CH16153 - CH16163 ",""," COII - Concrete Infill/Island","","","Philip Klenkowski","","","","","","",""
"ITP-054-A1-LOT-013 - SUP - Plaza Corner - CRG Rd EB - CH25960 - CH26123","02/02/23","02/02/23","02/02/23","",,"","CH25960 - CH26123","PAVI - Paving"," FOOT - Footpath","","","Philip Klenkowski","","","","","","",""
"ITP-054-A1-LOT-014 - Craigieburn Rd Eastbound SUP  - CH16040 to CH16130","02-03-2023","02-03-2023","02-03-2023","",,"CIL - Civil","CH16040 - CH16130 ","PAVI - Paving"," SHUP - Shared User Path","","EB - Eastbound","Qassim Al-Montafjy","","","","","","",""
"ITP-054-A1-LOT-015 - Walters Intersection North Eastern Island","06-02-2023","06-02-2023","06-02-2023","",,"CIL - Civil","CH 26140 - CH 26156","PAVI - Paving"," COII - Concrete Infill/Island","","EB - Eastbound","Qassim Al-Montafjy","","","","","","",""
"ITP-054-A1-LOT-016 - Zone 2 - Shell Driveway Western Driveway","06-02-2023","06-02-2023","06-02-2023","",,"CIL - Civil","CH15780 - CH15811","PAVI - Paving"," COII - Concrete Infill/Island","","EB - Eastbound","Qassim Al-Montafjy","","","","","","",""
"ITP-054-A1-LOT-017 - Zone 2 - Shell Driveway Eastern Driveway","08-02-2023","08-02-2023","08-02-2023","",,"","CH 15840 - CH15860","PAVI - Paving"," COII - Concrete Infill/Island",""," WB - Westbound","Philip Klenkowski","","","","","","",""
"ITP-054-A1-LOT-018 - Zone 1 - Memorial Park - WB / EB - Maintenance Strip ","09/02/2023","09/02/2023","09/02/2023","",,"","CH16160 - CH16352","","","","","Philip Klenkowski","","","","","","",""
"ITP-054-A1-LOT-019 - Zone 1 - Memorial Park - WB - Southern Island Infill ","09-02-2023","09-02-2023","09-02-2023","",,"CIL - Civil","CH16120 - CH16140","PAVI - Paving"," COII - Concrete Infill/Island",""," WB - Westbound","Philip Klenkowski ","","","","","","",""
"ITP-054-A1-LOT-020 - Zone 1 - Intersection Southern Island Infill - Hardy Slip Lane - CH16121 - CH16137","07/02/2023","07/02/2023","07/02/2023","",,"CIL - Civil","CH16121 - CH16137","PAVI - Paving","","","","Philip Klenkowski","","","","","","",""
"ITP-054-A1-LOT-021 - Zone 3.1- Bus bay CH14990 to 15040","11/02/2023","11/02/2023","11/02/2023","",,"","CH14990 to CH15040","PAVI - Paving"," CONB - Concrete Bay"," 1145-ACM-CVP-DPK-0001"," WB - Westbound","Khulood Hwayyis","","","","","","",""
"ITP-054-A1-LOT-022- Plaza West of Ampol Driveway - CH26993 - CH26000","CH26993 - CH26000","09/02/2023","09/02/2023","",,"CIL - Civil","CH26993 - CH26000","PAVI - Paving"," COII - Concrete Infill/Island","","","Philip Klenkowski","","","","","","",""
"ITP-054-A1-LOT-023- Plaza East of Ampol Driveway - CH26008 - CH26016","13/02/2023","13/02/2023","13/02/2023","",,"CIL - Civil","CH26008 - CH26016","","","","","Philip Klenkowski","","","","","","",""
"ITP-054-A1-LOT-024 - Hume Slip Lane x CRG Rd WB Bullnose ","17-02-2023","17-02-2023","17-02-2023","",,"","CH 16350 - CH 16360","PAVI - Paving"," COII - Concrete Infill/Island",""," WB - Westbound","Philip Klenkowski","","","","","","",""
"ITP-054-A1-LOT-025 - Vet to Benston Crossover - CRG Rd WB","17-02-2023","17-02-2023","17-02-2023","",,"","CH 15940 - CH 16140","PAVI - Paving"," COII - Concrete Infill/Island",""," WB - Westbound","Philip Klenkowski","","","","","","",""
"ITP-054-A1-LOT-026 - Chinnock Ct Driveway","23/02/2023","23/02/2023","23/02/2023","",,"CIL - Civil","CH15040 to CH15055","PAVI - Paving"," CONB - Concrete Bay"," 1145-ACM-CVP-DPK-0001"," WB - Westbound","Khulood Hwayyis","","","","","","",""
"ITP-054-A1-LOT-027 - Craigieburn Hume Intersection Southern Islan - CH70280","","","","",,"","","","","","","Qassim Al-Montafjy","","","","","","",""
"ITP-054-A1-LOT-028 - Maintenance Strip Ground Beam from Pit 304 to Pit 305","","","","",,"","","","","","","","","","","","","",""
"ITP-054-A1-LOT-029 - SUP - Craigieburn Rd Westbound - Zone 3 CH14760 to CH15080","","","","",,"","","","","","","Mohammad Memari","","","","","","",""
"ITP-054-A1-LOT-030 - West 8 Craigieburn roadCH 060 -CH120","16/05/2023","","","",,"","60-120 Walter street NB","","","","","","","","","","","",""
"ITP-054-A1-LOT-031 - aitken reserve sup","23/05/2023","23/05/2023","23/05/2023","",,"CIL - Civil","CH25330 - CH25430 EB","PAVI - Paving"," SHUP - Shared User Path","","EB - Eastbound","Fadi Hanna","","","","","","",""
"ITP-063 - Permanent Line Marking",,,,,,,,,,,,,,,,,,,
"ITP-065 - Wire Rope Safety Barrier (WRSB)",,,,,,,,,,,,,,,,,,,
"ITP-065-A1-LOT-001 - WRSB Anchor Block Pour - Hume Hwy North median - Northbound and Southbound","07/02/2022","19/11/2021","19/11/2021","",,"CIL-Civil Lot","CH70300 - CH70500","SAFE","SAFE - Safety Barrier","1145-C200-FUL-QAC-0065"," ME - Median","Omar El-Khub","","","","","","",""
"ITP-074 - Installation of Fencing",,,,,,,,,,,,,,,,,,,
"ITP-075 - Asphalt Placement",,,,,,,,,,,,,,,,,,,
"ITP-075-A1-LOT-001 - Hume Hwy North (Sth Bound) - Base Course","26/06/2022","26/06/2022","26/06/2022","27/07/2022",,"CIL-Civil Lot","70495-70310","PAVI - Paving","PAVI - Asphalt Placement",""," SB - Southbound","James Moran","","Philip Klenkowski","15/09/2022","Babak Rudd-Project Quality Manager"," N/A"," CLOSED","20/09/2022"
"ITP-075-A1-LOT-002 - Hume Hwy North (Nth bound) - Base Course","27/07/2022","27/07/2022","27/07/2022","28/07/2022",,"CIL-Civil Lot","70315-70455","PAVI - Paving","PAVI - Asphalt Placement",""," NB - Northbound","James Moran","Including Bullnose","Philip Klenkowski ","15/09/2022","Babak Rudd-Project Quality Manager"," N/A"," CLOSED","14/03/2023"
"ITP-075-A1-LOT-003 - Hume Hwy North (Nth Bound) - Intermediate Course","27/07/2022","27/07/2022","27/07/2022","27/07/2022",,"CIL-Civil Lot","70490-70315","PAVI - Paving","PAVI - Asphalt Placement",""," ME - Median","James Moran","Intermediate Course - Whole Nth Island","Philip Klenkowski","15/09/2022","Babak Rudd-Project Quality Manager"," N/A"," CLOSED","14/03/2023"
