"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"2969c12f-b90a-5eec-a836-5d63a70f9d3b","","checklist-flat","work-in-progress","Project Details","checklist-flat","FALSE","FALSE","Project Details"
"6d506d64-3a3f-499a-b827-4fc9eba80496","","folder-progress","work-in-progress","","checklist","TRUE","FALSE","QA - Mechanical  Inspections"
"c6b5aea1-0862-4456-a1e5-f041c805efb3","","folder-progress","work-in-progress","","checklist","FALSE","FALSE","QA - Mechanical  Inspections","TMV Box Installations","TMV Box Structure","A04 / A03","Section 2","Location 31","NZA05262"
"e4d5eeea-64d2-53ac-bc82-f287b44080a4","","checklist-flat","pass","TMV Manufacture Checklist","checklist-flat","FALSE","FALSE","QA - Mechanical  Inspections","TMV Box Installations","TMV Box Structure","A04 / A03","Section 2","Location 31","NZA05262","TMV Manufacture Checklist"
"a4dc9f3d-ee99-5f1b-bcbe-020227d8a85e","","checklist-flat","work-in-progress","Supply and Mount Warden Controlled TMV Valve Sets","checklist-flat","FALSE","FALSE","QA - Mechanical  Inspections","TMV Box Installations","TMV Box Structure","A04 / A03","Section 2","Location 31","NZA05262","Supply and Mount Warden Controlled TMV Valve Sets"
"a5999f5c-e735-5127-8ce6-8ab35906bd4b","","checklist-flat","not-started","Pressure Test Report QCC-01.01 v2","checklist-flat","FALSE","FALSE","QA - Mechanical  Inspections","TMV Box Installations","TMV Box Structure","A04 / A03","Section 2","Location 31","NZA05262","Pressure Test Report QCC-01.01"
"684dc34f-34ee-42e2-bd18-c992103c1ad9","","folder-normal","work-in-progress","","step","TRUE","FALSE","QA - Mechanical  Inspections","TMV Box Installations","TMV Box Structure","A04 / A03","Section 2","Location 32"
"080c2777-d078-46ec-b3cd-406bc1c3e388","","folder-normal","work-in-progress","","step","TRUE","FALSE","QA - Mechanical  Inspections","TMV Box Installations","TMV Box Structure","A04 / A03","Section 2","Location 32","NZA05204"
"e41f8b42-2169-5b64-892c-ae9bb04e54eb","","checklist-flat","work-in-progress","Supply and Mount Warden Controlled TMV Valve Sets","checklist-flat","FALSE","FALSE","QA - Mechanical  Inspections","TMV Box Installations","TMV Box Structure","A04 / A03","Section 2","Location 32","NZA05204","Supply and Mount Warden Controlled TMV Valve Sets"
"c2d496cc-3813-478e-adde-0a6ea8477476","","folder-normal","work-in-progress","","step","TRUE","FALSE","QA - Mechanical  Inspections","TMV Box Installations","TMV Box Structure","A04 / A03","Section 2","Location 33"
"efb8e362-f96d-4389-b9a1-584173eeb80b","","folder-progress","work-in-progress","","checklist","FALSE","FALSE","QA - Mechanical  Inspections","TMV Box Installations","TMV Box Structure","A04 / A03","Section 2","Location 33","NZA05260"
"b0eafa16-da94-54b1-9764-9e3d7f3dbb0a","","checklist-flat","pass","TMV Manufacture Checklist","checklist-flat","FALSE","FALSE","QA - Mechanical  Inspections","TMV Box Installations","TMV Box Structure","A04 / A03","Section 2","Location 33","NZA05260","TMV Manufacture Checklist"
"bee1a79e-bf94-5d83-83e6-dae109ae41df","","checklist-flat","work-in-progress","Supply and Mount Warden Controlled TMV Valve Sets","checklist-flat","FALSE","FALSE","QA - Mechanical  Inspections","TMV Box Installations","TMV Box Structure","A04 / A03","Section 2","Location 33","NZA05260","Supply and Mount Warden Controlled TMV Valve Sets"
"597c9c35-e009-589c-8f62-a61b8c41ce7c","","checklist-flat","not-started","Pressure Test Report QCC-01.01 v2","checklist-flat","FALSE","FALSE","QA - Mechanical  Inspections","TMV Box Installations","TMV Box Structure","A04 / A03","Section 2","Location 33","NZA05260","Pressure Test Report QCC-01.01"
"522c53db-e495-4681-8b91-0b9acd10ad09","","folder-normal","work-in-progress","","step","TRUE","FALSE","QA - Mechanical  Inspections","TMV Box Installations","TMV Box Structure","A04 / A03","Section 2","Location 34"
"a43c66a5-c64b-4b6d-83f8-4ccc0fcaff83","","folder-progress","work-in-progress","","checklist","FALSE","FALSE","QA - Mechanical  Inspections","TMV Box Installations","TMV Box Structure","A04 / A03","Section 2","Location 34","NZA05381"
"7ff669bd-9ab8-58af-a0c7-64c20e4a68df","","checklist-flat","pass","TMV Manufacture Checklist","checklist-flat","FALSE","FALSE","QA - Mechanical  Inspections","TMV Box Installations","TMV Box Structure","A04 / A03","Section 2","Location 34","NZA05381","TMV Manufacture Checklist"
"f0f9dd9e-773e-5459-9ae7-71dc96933d96","","checklist-flat","work-in-progress","Supply and Mount Warden Controlled TMV Valve Sets","checklist-flat","FALSE","FALSE","QA - Mechanical  Inspections","TMV Box Installations","TMV Box Structure","A04 / A03","Section 2","Location 34","NZA05381","Supply and Mount Warden Controlled TMV Valve Sets"
"95024cba-db96-568d-9885-f91e138c5131","","checklist-flat","not-started","Pressure Test Report QCC-01.01 v2","checklist-flat","FALSE","FALSE","QA - Mechanical  Inspections","TMV Box Installations","TMV Box Structure","A04 / A03","Section 2","Location 34","NZA05381","Pressure Test Report QCC-01.01"
"f5584680-3cc6-4c0c-a2f4-cc0258766a08","","folder-normal","work-in-progress","","step","TRUE","FALSE","QA - Mechanical  Inspections","TMV Box Installations","TMV Box Structure","A04 / A03","Section 2","Location 35"
"d1819c1b-d406-425b-af63-f9967f601bd5","","folder-progress","work-in-progress","","checklist","FALSE","FALSE","QA - Mechanical  Inspections","TMV Box Installations","TMV Box Structure","A04 / A03","Section 2","Location 35","NZA05271"
"026e1123-7c69-5377-9450-61555e09961e","","checklist-flat","pass","TMV Manufacture Checklist","checklist-flat","FALSE","FALSE","QA - Mechanical  Inspections","TMV Box Installations","TMV Box Structure","A04 / A03","Section 2","Location 35","NZA05271","TMV Manufacture Checklist"
"f39a4171-7825-50da-af85-2e7ec566e093","","checklist-flat","work-in-progress","Supply and Mount Warden Controlled TMV Valve Sets","checklist-flat","FALSE","FALSE","QA - Mechanical  Inspections","TMV Box Installations","TMV Box Structure","A04 / A03","Section 2","Location 35","NZA05271","Supply and Mount Warden Controlled TMV Valve Sets"
"5e92a64c-4e39-5ea8-a7e3-a9fb4abee73c","","checklist-flat","not-started","Pressure Test Report QCC-01.01 v2","checklist-flat","FALSE","FALSE","QA - Mechanical  Inspections","TMV Box Installations","TMV Box Structure","A04 / A03","Section 2","Location 35","NZA05271","Pressure Test Report QCC-01.01"
"ebed836a-0acf-4020-82cb-199ba60da817","","folder-normal","work-in-progress","","step","TRUE","FALSE","QA - Mechanical  Inspections","TMV Box Installations","TMV Box Structure","A04 / A03","Section 2","Location 36"
"521df9f8-f880-42a1-808f-e429024c7091","","folder-normal","work-in-progress","","step","TRUE","FALSE","QA - Mechanical  Inspections","TMV Box Installations","TMV Box Structure","A04 / A03","Section 2","Location 36","NZA05201"
"abc106c2-ae27-5cc8-99a6-d896a2e9ab14","","checklist-flat","work-in-progress","Supply and Mount Warden Controlled TMV Valve Sets","checklist-flat","FALSE","FALSE","QA - Mechanical  Inspections","TMV Box Installations","TMV Box Structure","A04 / A03","Section 2","Location 36","NZA05201","Supply and Mount Warden Controlled TMV Valve Sets"
"69a7bd0f-34eb-48e5-8ff0-f2637d0142bd","","folder-normal","work-in-progress","","step","TRUE","FALSE","QA - Mechanical  Inspections","TMV Box Installations","TMV Box Structure","A04 / A03","Section 2","Location 37"
"f7f57586-bb2d-48cc-9207-ac7df54ffd18","","folder-progress","work-in-progress","","checklist","FALSE","FALSE","QA - Mechanical  Inspections","TMV Box Installations","TMV Box Structure","A04 / A03","Section 2","Location 37","NZA05248"
"51f60a84-e267-5585-a660-3a2130fc6c1d","","checklist-flat","pass","TMV Manufacture Checklist","checklist-flat","FALSE","FALSE","QA - Mechanical  Inspections","TMV Box Installations","TMV Box Structure","A04 / A03","Section 2","Location 37","NZA05248","TMV Manufacture Checklist"
"96650ded-b9ef-5716-8593-40495946995d","","checklist-flat","work-in-progress","Supply and Mount Warden Controlled TMV Valve Sets","checklist-flat","FALSE","FALSE","QA - Mechanical  Inspections","TMV Box Installations","TMV Box Structure","A04 / A03","Section 2","Location 37","NZA05248","Supply and Mount Warden Controlled TMV Valve Sets"
"a3b648a5-e648-578e-9651-b749326b975d","","checklist-flat","not-started","Pressure Test Report QCC-01.01 v2","checklist-flat","FALSE","FALSE","QA - Mechanical  Inspections","TMV Box Installations","TMV Box Structure","A04 / A03","Section 2","Location 37","NZA05248","Pressure Test Report QCC-01.01"
"bd10bc13-1f7e-4cd5-b492-a8846e7f8d8b","","folder-normal","work-in-progress","","step","TRUE","FALSE","QA - Mechanical  Inspections","TMV Box Installations","TMV Box Structure","A04 / A03","Section 2","Location 38"
"046f1229-6f4d-4dea-9625-d07025ed0789","","folder-progress","work-in-progress","","checklist","FALSE","FALSE","QA - Mechanical  Inspections","TMV Box Installations","TMV Box Structure","A04 / A03","Section 2","Location 38","NZA05395"
"97230309-8817-51b3-91b3-18240e687279","","checklist-flat","pass","TMV Manufacture Checklist","checklist-flat","FALSE","FALSE","QA - Mechanical  Inspections","TMV Box Installations","TMV Box Structure","A04 / A03","Section 2","Location 38","NZA05395","TMV Manufacture Checklist"
"8661bdc3-df53-5a23-811f-e633918698d1","","checklist-flat","work-in-progress","Supply and Mount Warden Controlled TMV Valve Sets","checklist-flat","FALSE","FALSE","QA - Mechanical  Inspections","TMV Box Installations","TMV Box Structure","A04 / A03","Section 2","Location 38","NZA05395","Supply and Mount Warden Controlled TMV Valve Sets"
"91d5180b-63c0-56e8-b21a-7f9c3c282d39","","checklist-flat","not-started","Pressure Test Report QCC-01.01 v2","checklist-flat","FALSE","FALSE","QA - Mechanical  Inspections","TMV Box Installations","TMV Box Structure","A04 / A03","Section 2","Location 38","NZA05395","Pressure Test Report QCC-01.01"
"d90e9e09-3d84-4bb5-89db-6af202723f6b","","folder-normal","work-in-progress","","step","TRUE","FALSE","QA - Mechanical  Inspections","TMV Box Installations","TMV Box Structure","A04 / A03","Section 2","Location 39"
"352e785e-8fdc-423f-8817-018288bb82dc","","folder-progress","work-in-progress","","checklist","FALSE","FALSE","QA - Mechanical  Inspections","TMV Box Installations","TMV Box Structure","A04 / A03","Section 2","Location 39","NZA05268"
"8346c856-1a2f-5bb9-ac26-8ab4b15e496f","","checklist-flat","pass","TMV Manufacture Checklist","checklist-flat","FALSE","FALSE","QA - Mechanical  Inspections","TMV Box Installations","TMV Box Structure","A04 / A03","Section 2","Location 39","NZA05268","TMV Manufacture Checklist"
"8fadb76e-b880-5662-b03f-944a016126cd","","checklist-flat","work-in-progress","Supply and Mount Warden Controlled TMV Valve Sets","checklist-flat","FALSE","FALSE","QA - Mechanical  Inspections","TMV Box Installations","TMV Box Structure","A04 / A03","Section 2","Location 39","NZA05268","Supply and Mount Warden Controlled TMV Valve Sets"
"6bf70962-ae4a-5e58-ba25-5f9c6fdec6f4","","checklist-flat","not-started","Pressure Test Report QCC-01.01 v2","checklist-flat","FALSE","FALSE","QA - Mechanical  Inspections","TMV Box Installations","TMV Box Structure","A04 / A03","Section 2","Location 39","NZA05268","Pressure Test Report QCC-01.01"
"54efa75a-29bb-4a9e-bebc-48bf50152994","","folder-normal","work-in-progress","","step","TRUE","FALSE","QA - Mechanical  Inspections","TMV Box Installations","TMV Box Structure","A04 / A03","Section 2","Location 40"
"0333bbc9-89d3-48ee-9f8c-1b100bd0f12c","","folder-progress","work-in-progress","","checklist","FALSE","FALSE","QA - Mechanical  Inspections","TMV Box Installations","TMV Box Structure","A04 / A03","Section 2","Location 40","NZA05172"
"b2bb3e4c-81a6-5e8d-a4fd-b6849be33ae2","","checklist-flat","pass","TMV Manufacture Checklist","checklist-flat","FALSE","FALSE","QA - Mechanical  Inspections","TMV Box Installations","TMV Box Structure","A04 / A03","Section 2","Location 40","NZA05172","TMV Manufacture Checklist"
"0d2416ef-c712-58ec-82ee-7a59fe3af86f","","checklist-flat","work-in-progress","Supply and Mount Warden Controlled TMV Valve Sets","checklist-flat","FALSE","FALSE","QA - Mechanical  Inspections","TMV Box Installations","TMV Box Structure","A04 / A03","Section 2","Location 40","NZA05172","Supply and Mount Warden Controlled TMV Valve Sets"
"e0cd2ef9-66a9-5f07-b8f0-6539743fff2b","","checklist-flat","not-started","Pressure Test Report QCC-01.01 v2","checklist-flat","FALSE","FALSE","QA - Mechanical  Inspections","TMV Box Installations","TMV Box Structure","A04 / A03","Section 2","Location 40","NZA05172","Pressure Test Report QCC-01.01"
"1961c607-72d4-4abf-895d-8c0fceff16af","","folder-normal","work-in-progress","","step","TRUE","FALSE","QA - Mechanical  Inspections","TMV Box Installations","TMV Box Structure","A04 / A03","Section 2","Location 41"
"67d6f2fe-5bc9-4f4e-8041-58925a46942d","","folder-progress","work-in-progress","","checklist","FALSE","FALSE","QA - Mechanical  Inspections","TMV Box Installations","TMV Box Structure","A04 / A03","Section 2","Location 41","NZA05252"
"439d17a6-cffe-5a25-aed3-50ae66a0e6d6","","checklist-flat","pass","TMV Manufacture Checklist","checklist-flat","FALSE","FALSE","QA - Mechanical  Inspections","TMV Box Installations","TMV Box Structure","A04 / A03","Section 2","Location 41","NZA05252","TMV Manufacture Checklist"
"ce15fc28-8575-5d1b-beb3-119803aeaffa","","checklist-flat","work-in-progress","Supply and Mount Warden Controlled TMV Valve Sets","checklist-flat","FALSE","FALSE","QA - Mechanical  Inspections","TMV Box Installations","TMV Box Structure","A04 / A03","Section 2","Location 41","NZA05252","Supply and Mount Warden Controlled TMV Valve Sets"
"000973a5-8624-597e-907d-3e91cc1b3c6d","","checklist-flat","not-started","Pressure Test Report QCC-01.01 v2","checklist-flat","FALSE","FALSE","QA - Mechanical  Inspections","TMV Box Installations","TMV Box Structure","A04 / A03","Section 2","Location 41","NZA05252","Pressure Test Report QCC-01.01"
"5e6f5014-2993-404b-af8d-530582b8dabe","","folder-normal","work-in-progress","","step","TRUE","FALSE","QA - Mechanical  Inspections","TMV Box Installations","TMV Box Structure","A04 / A03","Section 2","Location 42"
"2cb7a3c5-6e82-4d96-8765-c87c98be1567","","folder-progress","work-in-progress","","checklist","FALSE","FALSE","QA - Mechanical  Inspections","TMV Box Installations","TMV Box Structure","A04 / A03","Section 2","Location 42","NZA05378"
"dbe26945-1396-529c-9c80-59401f32f1a5","","checklist-flat","pass","TMV Manufacture Checklist","checklist-flat","FALSE","FALSE","QA - Mechanical  Inspections","TMV Box Installations","TMV Box Structure","A04 / A03","Section 2","Location 42","NZA05378","TMV Manufacture Checklist"
"349f7766-e1ea-5c25-8116-5188156ad796","","checklist-flat","work-in-progress","Supply and Mount Warden Controlled TMV Valve Sets","checklist-flat","FALSE","FALSE","QA - Mechanical  Inspections","TMV Box Installations","TMV Box Structure","A04 / A03","Section 2","Location 42","NZA05378","Supply and Mount Warden Controlled TMV Valve Sets"
"2e161a92-3713-5b18-b8b6-c805130f0fc4","","checklist-flat","not-started","Pressure Test Report QCC-01.01 v2","checklist-flat","FALSE","FALSE","QA - Mechanical  Inspections","TMV Box Installations","TMV Box Structure","A04 / A03","Section 2","Location 42","NZA05378","Pressure Test Report QCC-01.01"
"f04984f9-8729-4880-9dfa-8d61d689a47e","","folder-normal","work-in-progress","","step","TRUE","FALSE","QA - Mechanical  Inspections","TMV Box Installations","TMV Box Structure","A04 / A03","Section 2","Location 43"
"31dc69da-8467-4dd7-a441-f7f42b91e418","","folder-normal","work-in-progress","","step","TRUE","FALSE","QA - Mechanical  Inspections","TMV Box Installations","TMV Box Structure","A04 / A03","Section 2","Location 43","NZA05211"
"8bcdcfe3-0ed5-5229-86eb-504f9356e4d5","","checklist-flat","work-in-progress","Supply and Mount Warden Controlled TMV Valve Sets","checklist-flat","FALSE","FALSE","QA - Mechanical  Inspections","TMV Box Installations","TMV Box Structure","A04 / A03","Section 2","Location 43","NZA05211","Supply and Mount Warden Controlled TMV Valve Sets"
"6b4591d3-e3a2-4a67-802e-57450042fdf6","","folder-normal","work-in-progress","","step","TRUE","FALSE","QA - Mechanical  Inspections","TMV Box Installations","TMV Box Structure","A04 / A03","Section 2","Location 44"
"62c98617-5101-4166-8bca-81d1c8404cfb","","folder-normal","work-in-progress","","step","TRUE","FALSE","QA - Mechanical  Inspections","TMV Box Installations","TMV Box Structure","A04 / A03","Section 2","Location 44","NZA05203"
"f3e39e96-53a5-5171-882a-9da5a9366e0a","","checklist-flat","work-in-progress","Supply and Mount Warden Controlled TMV Valve Sets","checklist-flat","FALSE","FALSE","QA - Mechanical  Inspections","TMV Box Installations","TMV Box Structure","A04 / A03","Section 2","Location 44","NZA05203","Supply and Mount Warden Controlled TMV Valve Sets"
"1e10a580-148b-46cc-a996-3fd9a46c55d2","","folder-normal","work-in-progress","","step","TRUE","FALSE","QA - Mechanical  Inspections","TMV Box Installations","TMV Box Structure","A04 / A03","Section 2","Location 45"
"bb7676c3-05da-4c33-807b-37f8d6c2f498","","folder-progress","work-in-progress","","checklist","FALSE","FALSE","QA - Mechanical  Inspections","TMV Box Installations","TMV Box Structure","A04 / A03","Section 2","Location 45","NZA05440"
"177b7f3a-de9f-5910-8181-a0d8f8a09042","","checklist-flat","pass","TMV Manufacture Checklist","checklist-flat","FALSE","FALSE","QA - Mechanical  Inspections","TMV Box Installations","TMV Box Structure","A04 / A03","Section 2","Location 45","NZA05440","TMV Manufacture Checklist"
